Release  Date           Species  Total_accessions  Nucleotides  Transcripts  Proteins

1        Jun 30, 2003   36       693               37           0            656        
2        Oct 21, 2003   37       700               38           0            662        
3        Jan 14, 2004   317      23412             559          1            22852      
4        Mar 24, 2004   329      24225             587          0            23638      
5        May 02, 2004   331      24618             590          0            24028      
6        Jul 05, 2004   342      25545             613          0            24932      
7        Sep 12, 2004   349      26043             626          0            25417      
8        Oct 31, 2004   357      26917             642          0            26275      
9        Jan 09, 2005   371      29295             671          0            28624      
10       Mar 06, 2005   382      30888             703          0            30185      
11       May 08, 2005   394      31332             723          0            30609      
12       Jul 10, 2005   404      32163             749          0            31414      
13       Sep 11, 2005   411      33848             777          0            33071      
14       Nov 20, 2005   428      36415             812          0            35603      
15       Dec 30, 2005   432      36859             820          0            36039      
16       Mar 11, 2006   444      38986             846          0            38140      
17       Apr 30, 2006   451      41378             864          0            40514      
18       Jul 11, 2006   465      43623             888          0            42735      
19       Sep 10, 2006   475      46652             908          0            45744      
20       Nov 05, 2006   491      50658             959          0            49699      
21       Jan 07, 2007   504      54438             985          0            53453      
22       Mar 02, 2007   513      56819             1012         0            55807      
23       May 08, 2007   531      62591             1057         0            61534      
24       Jul 10, 2007   545      67109             1087         0            66022      
25       Sep 11, 2007   560      69201             1118         0            68083      
26       Nov 04, 2007   570      73253             1150         0            72103      
27       Jan 06, 2008   591      75111             1202         0            73909      
28       Mar 09, 2008   605      77234             1247         3            75984      
29       May 04, 2008   634      104509            1326         3            103180     
30       Jul 07, 2008   693      92430             1479         3            90948      
31       Aug 30, 2008   705      93926             1502         3            92421      
32       Nov 10, 2008   731      99445             1588         3            97854      
33       Jan 16, 2009   764      108063            1725         3            106335     
34       Mar 06, 2009   786      113776            1801         3            111972     
35       May 04, 2009   800      124441            1956         3            122482     
36       Jul 02, 2009   817      131800            2000         3            129797     
37       Sep 03, 2009   838      133833            2036         3            131794     
38       Nov 07, 2009   868      136398            2144         3            134251     
39       Jan 23, 2010   893      139774            2204         3            137567     
40       Mar 07, 2010   904      144985            2233         3            142749     
41       May 09, 2010   925      151825            2289         3            149533     
42       Jul 13, 2010   947      155325            2331         3            152991     
43       Sep 05, 2010   952      160065            2356         3            157706     
44       Nov 07, 2010   961      164615            2324         3            162288     
45       Jan 07, 2011   978      169540            2361         3            167176     
46       Mar 08, 2011   995      174656            2408         3            172245     
47       May 07, 2011   1022     179925            2452         3            177470     
48       Jul 10, 2011   1050     186791            2512         3            184276     
49       Sep 07, 2011   1061     191018            2559         3            188456     
50       Nov 08, 2011   1072     192071            2582         3            189486     
51       Jan 09, 2012   1079     194086            2590         3            191493     
52       Mar 05, 2012   1109     204877            2654         3            202220     
53       May 07, 2012   1209     231218            2936         3            228279     
54       Jul 09, 2012   1248     245957            3085         3            242869     
55       Sep 17, 2012   1258     248322            3135         3            245184     
56       Nov 08, 2012   1385     279442            3711         3            275728     
57       Jan 08, 2013   1443     295863            3889         3            291971     
58       Mar 11, 2013   1427     299548            3972         8            295568     
59       Apr 29, 2013   1464     307233            4080         12           303141     
60       Jul 19, 2013   1501     314152            4199         12           309941     
61       Sep 09, 2013   1562     323708            4240         12           319456     
62       Nov 10, 2013   1588     329255            4307         12           324936     
63       Jan 12, 2014   1611     337414            4378         12           333024     
64       Mar 10, 2014   1617     339145            4402         12           334731     
65       May 12, 2014   1623     341528            4426         11           337091     
66       Jul 07, 2014   1633     341966            4864         11           337091     
67       Sep 08, 2014   1632     341937            4865         11           337061     
68       Nov 03, 2014   1924     370276            8141         14           362121     
69       Jan 03, 2015   1927     366700            8151         8            358541     
70       Mar 03, 2015   2104     137969            8915         12           129042     
71       Jul 06, 2015   2139     135807            9070         12           126725     
72       Aug 27, 2015   2195     119471            9110         12           110349     
73       Nov 02, 2015   2207     119597            9162         12           110423     
74       Jan 11, 2016   2235     119886            9225         12           110649     
75       Mar 07, 2016   2036     103347            6589         12           96746      
76       May 09, 2016   2099     103635            6877         12           96746      
77       Jun 29, 2016   2173     104491            7716         12           96763      
78       Sep 06, 2016   2254     104777            8177         10           96590      
79       Oct 31, 2016   2284     105197            8323         10           96864      
80       Jan 09, 2017   2338     106419            8935         10           97474      
81       Mar 06, 2017   2386     106566            9351         10           97205      
82       May 08, 2017   2439     106996            9776         10           97210      
83       Jul 17, 2017   2489     107607            10393        7            97207      
84       Sep 10, 2017   3327     672526            10634        7            661885     
85       Nov 06, 2017   3396     648181            11371        7            636803     
86       Jan 08, 2018   3424     644762            11677        7            633078     
87       Mar 05, 2018   3614     844392            12395        7            831990     
88       May 14, 2018   3680     871788            13200        7            858581     
89       Jul 09, 2018   3707     889005            13428        7            875570     
90       Sep 10, 2018   3783     931756            13924        7            917825     
91       Nov 05, 2018   3853     968275            14493        7            953775     
92       Jan 04, 2019   3910     974545            15076        7            959462     
93       Mar 13, 2019   3993     1056814           16136        7            1040671    
94       May 06, 2019   4102     1114985           18093        7            1096885    
95       Jul 08, 2019   4169     1137359           18598        7            1118754    
96       Sep 09, 2019   4247     1160833           19327        7            1141499    
97       Nov 04, 2019   4476     1198495           20523        7            1177965    
98       Jan 06, 2020   4557     1211044           21281        7            1189756    
99       Mar 02, 2020   4714     1261607           22389        7            1239211    
200      May 04, 2020   4795     1276643           23309        7            1253327    
